Village,Treatment,Site,Sci_name,Palatability,Weight,Scientific_name,Family,Life_form,General_terms,x,y,Functional_type,Functional_groups
APA17,bgrnf,APA17bgrnf,Justicia vahlii,Yes,5,Justicia vahliana Schult.,Acanthaceae,Herb,Acanthus family,14.1183527,78.3349066,Annual herb,Forb
APA7,bgpnf,APA7bgpnf,Justicia vahlii,Yes,32,Justicia vahliana Schult.,Acanthaceae,Herb,Acanthus family,14.02114351,78.38002126,Annual herb,Forb
APA7,bgrnf,APA7bgrnf,Justicia vahlii,Yes,15,Justicia vahliana Schult.,Acanthaceae,Herb,Acanthus family,14.02257643,78.38102775,Annual herb,Forb
APA8,bgrnf,APA8bgrnf,Justicia vahlii,Yes,23,Justicia vahliana Schult.,Acanthaceae,Herb,Acanthus family,14.02132073,78.3810486,Annual herb,Forb
APC10,bgrnf,APC10bgrnf,Justicia vahlii,Yes,35,Justicia vahliana Schult.,Acanthaceae,Herb,Acanthus family,13.8647888,78.3988028,Annual herb,Forb
APC11,bgrnf,APC11bgrnf,Justicia vahlii,Yes,37,Justicia vahliana Schult.,Acanthaceae,Herb,Acanthus family,13.8387583,78.4107094,Annual herb,Forb
APC3,ab,APC3ab,Justicia vahlii,Yes,28,Justicia vahliana Schult.,Acanthaceae,Herb,Acanthus family,13.8280097,78.4130915,Annual herb,Forb
APC3,bgrnf,APC3bgrnf,Justicia vahlii,Yes,7,Justicia vahliana Schult.,Acanthaceae,Herb,Acanthus family,13.82903847,78.41240476,Annual herb,Forb
APC7,bgpnf,APC7bgpnf,Justicia vahlii,Yes,9,Justicia vahliana Schult.,Acanthaceae,Herb,Acanthus family,13.94232155,78.50763286,Annual herb,Forb
APA10,bgpnf,APA10bgpnf,Lepidagathis cristata,Yes,11,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.01931795,78.38124299,Perennial herb,Forb
APA12,ab,APA12ab,Lepidagathis cristata,Yes,127,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.0411993,78.3177903,Perennial herb,Forb
APA12,bgrnf,APA12bgrnf,Lepidagathis cristata,Yes,22,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.0406286,78.3174365,Perennial herb,Forb
APA15,bgpnf,APA15bgpnf,Lepidagathis cristata,Yes,147,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.07274083,78.36364415,Perennial herb,Forb
APA16,bgrnf,APA16bgrnf,Lepidagathis cristata,Yes,40,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.1162124,78.340371,Perennial herb,Forb
APA17,bgpnf,APA17bgpnf,Lepidagathis cristata,Yes,152,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.1182461,78.3338937,Perennial herb,Forb
APA17,bgrnf,APA17bgrnf,Lepidagathis cristata,Yes,72,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.1183527,78.3349066,Perennial herb,Forb
APA18,bgpnf,APA18bgpnf,Lepidagathis cristata,Yes,21,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.05877728,78.33773986,Perennial herb,Forb
APA18,bgrnf,APA18bgrnf,Lepidagathis cristata,Yes,74,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.05540854,78.34276519,Perennial herb,Forb
APA19,ab,APA19ab,Lepidagathis cristata,Yes,133,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.06168327,78.34201433,Perennial herb,Forb
APA19,bgrnf,APA19bgrnf,Lepidagathis cristata,Yes,48,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.05936089,78.34454953,Perennial herb,Forb
APA1,ab,APA1ab,Lepidagathis cristata,Yes,172,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.06974742,78.3350166,Perennial herb,Forb
APA1,bgrnf,APA1bgrnf,Lepidagathis cristata,Yes,267,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,13.84898235,78.4284124,Perennial herb,Forb
APA20,ab,APA20ab,Lepidagathis cristata,Yes,95,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.07351935,78.32029247,Perennial herb,Forb
APA21,bgpnf,APA21bgpnf,Lepidagathis cristata,Yes,19,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.0091949,78.3198229,Perennial herb,Forb
APA21,bgrnf,APA21bgrnf,Lepidagathis cristata,Yes,66,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.0087733,78.3203361,Perennial herb,Forb
APA5,bgrnf,APA5bgrnf,Lepidagathis cristata,Yes,194,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.0633389,78.35483416,Perennial herb,Forb
APA6,ab,APA6ab,Lepidagathis cristata,Yes,230,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.0322524,78.37958529,Perennial herb,Forb
APA6,bgrnf,APA6bgrnf,Lepidagathis cristata,Yes,80,Lepidagathis cristata Willd.,Acanthaceae,Herb,Acanthus family,14.03027697,78.38398113,Perennial herb,Forb
